"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Albedo","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","1","0","0","0","-7.1","1","0.2","0","-7.1","0","0"
"1","1","1","0","0","-9.7","0","0.2","0","-9.7","0","0"
"1","1","2","0","0","-11.4","1","0.2","0","-11.4","0","0"
"1","1","3","0","0","-12.4","1","0.2","0","-12.4","0","0"
"1","1","4","0","0","-12.8","0","0.2","0","-12.8","0","0"
"1","1","5","0","0","-13.1","0","0.2","0","-13.1","0","0"
"1","1","6","0","0","-13","0","0.2","0","-13","0","0"
"1","1","7","0","9","-12.8","1","0.2","8.172","-12.587","31.153","2.76"
"1","1","8","0","34","-11.9","1","0.2","30.022","-10.99","181.015","147.312"
"1","1","9","0","80","-9.8","0","0.2","77.166","-6.642","487.221","442.668"
"1","1","10","4","112","-7.9","0","0.2","110.908","-3.356","702.638","650.451"
"1","1","11","406","146","-6.3","0","0.2","440.805","11.827","2773.812","2648.236"
"1","1","12","558","85","-5.3","0","0.2","428.59","12.341","2700.508","2577.529"
"1","1","13","465","75","-6.4","2","0.2","292.417","0.725","1863.481","1770.162"
"1","1","14","0","44","-6.3","0","0.2","38.917","-4.714","234.072","198.488"
"1","1","15","0","7","-7.4","1","0.2","6.104","-7.241","22.419","0"
"1","1","16","0","0","-10.1","1","0.2","0","-10.1","0","0"
"1","1","17","0","0","-11","0","0.2","0","-11","0","0"
"1","1","18","0","0","-11.6","1","0.2","0","-11.6","0","0"
"1","1","19","0","0","-10.8","1","0.2","0","-10.8","0","0"
"1","1","20","0","0","-11.8","0","0.2","0","-11.8","0","0"
"1","1","21","0","0","-10.4","1","0.2","0","-10.4","0","0"
"1","1","22","0","0","-9.5","2","0.2","0","-9.5","0","0"
"1","1","23","0","0","-10.9","2","0.2","0","-10.9","0","0"
"1","2","0","0","0","-9.7","2","0.2","0","-9.7","0","0"
"1","2","1","0","0","-10.8","1","0.2","0","-10.8","0","0"
"1","2","2","0","0","-10.4","0","0.2","0","-10.4","0","0"
"1","2","3","0","0","-10.9","2","0.2","0","-10.9","0","0"
"1","2","4","0","0","-10.6","2","0.2","0","-10.6","0","0"
"1","2","5","0","0","-10.3","2","0.2","0","-10.3","0","0"
"1","2","6","0","0","-9.6","2","0.2","0","-9.6","0","0"
"1","2","7","0","4","-9.7","2","0.2","3.632","-9.624","13.211","0"
"1","2","8","0","45","-8.7","2","0.2","44.293","-7.629","267.381","230.617"
"1","2","9","9","90","-5.9","1","0.2","95.153","-2.99","597.736","549.267"
"1","2","10","2","113","-3.8","2","0.2","110.61","-1.101","694.637","642.734"
"1","2","11","7","124","-2.2","1","0.2","122.714","1.554","765.8","711.375"
"1","2","12","49","138","-0.8","1","0.2","168.893","4.372","1057.122","992.374"
"1","2","13","30","107","0.2","2","0.2","118.354","3.086","731.723","678.506"
"1","2","14","1","58","0.9","2","0.2","52.727","2.18","312.105","273.756"
"1","2","15","0","10","0.7","2","0.2","8.731","0.882","31.348","2.948"
"1","2","16","0","0","0.8","2","0.2","0","0.8","0","0"
"1","2","17","0","0","0.5","3","0.2","0","0.5","0","0"
"1","2","18","0","0","0.4","3","0.2","0","0.4","0","0"
"1","2","19","0","0","-0.7","3","0.2","0","-0.7","0","0"
"1","2","20","0","0","-1.8","3","0.2","0","-1.8","0","0"
"1","2","21","0","0","-2.5","2","0.2","0","-2.5","0","0"
"1","2","22","0","0","-2","4","0.2","0","-2","0","0"
"1","2","23","0","0","-1.5","2","0.2","0","-1.5","0","0"
"1","3","0","0","0","-2.1","2","0.2","0","-2.1","0","0"
"1","3","1","0","0","-1.7","3","0.2","0","-1.7","0","0"
"1","3","2","0","0","-1.6","3","0.2","0","-1.6","0","0"
"1","3","3","0","0","-2.1","2","0.2","0","-2.1","0","0"
"1","3","4","0","0","-1.8","3","0.2","0","-1.8","0","0"
"1","3","5","0","0","-1.3","3","0.2","0","-1.3","0","0"
"1","3","6","0","0","-0.8","1","0.2","0","-0.8","0","0"
"1","3","7","0","5","-0.7","2","0.2","4.54","-0.605","15.957","0"
"1","3","8","0","45","0.1","2","0.2","44.24","1.17","257.948","221.519"
"1","3","9","8","102","0.8","2","0.2","110.18","3.487","678.57","627.236"
"1","3","10","42","135","1.6","2","0.2","175.985","5.899","1096.741","1030.59"
"1","3","11","66","144","2.6","2","0.2","194.535","7.353","1210.588","1140.403"
"1","3","12","62","135","3.5","1","0.2","172.662","8.789","1064.744","999.727"
"1","3","13","31","109","3.9","1","0.2","120.964","7.599","735.786","682.425"
"1","3","14","1","59","2.7","3","0.2","53.648","3.783","315.983","277.497"
"1","3","15","0","10","2.1","2","0.2","8.73","2.282","31.136","2.743"
"1","3","16","0","0","1.6","3","0.2","0","1.6","0","0"
"1","3","17","0","0","1.7","2","0.2","0","1.7","0","0"
"1","3","18","0","0","1.5","2","0.2","0","1.5","0","0"
"1","3","19","0","0","1","0","0.2","0","1","0","0"
"1","3","20","0","0","1.2","1","0.2","0","1.2","0","0"
"1","3","21","0","0","1","0","0.2","0","1","0","0"
"1","3","22","0","0","1","0","0.2","0","1","0","0"
"1","3","23","0","0","0.9","0.5","0.2","0","0.9","0","0"
"1","4","0","0","0","0.9","1","0.2","0","0.9","0","0"
"1","4","1","0","0","0.8","1","0.2","0","0.8","0","0"
"1","4","2","0","0","0.8","1","0.2","0","0.8","0","0"
"1","4","3","0","0","0.7","1","0.2","0","0.7","0","0"
"1","4","4","0","0","0.6","0","0.2","0","0.6","0","0"
"1","4","5","0","0","0.5","1","0.2","0","0.5","0","0"
"1","4","6","0","0","0.4","1","0.2","0","0.4","0","0"
"1","4","7","0","4","0.5","1","0.2","3.632","0.595","12.56","0"
"1","4","8","0","35","0.8","1","0.2","31.146","1.745","178.736","145.114"
"1","4","9","0","80","1","1","0.2","76.947","3.352","467.698","423.837"
"1","4","10","4","113","1","1","0.2","111.793","4.42","688.033","636.365"
"1","4","11","6","126","1.5","0","0.2","124.085","6.583","759.85","705.636"
"1","4","12","4","118","1.7","1","0.2","112.843","5.152","692.601","640.77"
"1","4","13","0","90","1.5","1","0.2","82.395","4.02","501.616","456.553"
"1","4","14","0","47","1.4","0","0.2","41.662","3.099","244.035","208.099"
"1","4","15","0","8","1.2","0","0.2","6.977","1.444","24.734","0"
"1","4","16","0","0","1.2","0","0.2","0","1.2","0","0"
"1","4","17","0","0","0.8","1","0.2","0","0.8","0","0"
"1","4","18","0","0","0.8","2","0.2","0","0.8","0","0"
"1","4","19","0","0","0.5","0","0.2","0","0.5","0","0"
"1","4","20","0","0","0.5","0","0.2","0","0.5","0","0"
"1","4","21","0","0","0.4","1","0.2","0","0.4","0","0"
"1","4","22","0","0","0.6","1","0.2","0","0.6","0","0"
"1","4","23","0","0","0.6","0","0.2","0","0.6","0","0"
"1","5","0","0","0","0.4","1","0.2","0","0.4","0","0"
"1","5","1","0","0","0.5","2","0.2","0","0.5","0","0"
"1","5","2","0","0","0.6","1","0.2","0","0.6","0","0"
"1","5","3","0","0","0.3","1","0.2","0","0.3","0","0"
"1","5","4","0","0","0.1","2","0.2","0","0.1","0","0"
"1","5","5","0","0","0.1","1","0.2","0","0.1","0","0"
"1","5","6","0","0","0.3","1","0.2","0","0.3","0","0"
"1","5","7","0","4","0.3","2","0.2","3.632","0.376","12.574","0"
"1","5","8","0","35","0.3","3","0.2","31.098","0.926","179.135","145.498"
"1","5","9","0","81","0.6","2","0.2","78.057","2.503","476.315","432.148"
"1","5","10","4","113","0.7","2.3","0.2","111.676","3.269","690.308","638.558"
"1","5","11","7","126","0.9","2.7","0.2","124.632","3.564","772.197","717.546"
"1","5","12","6","119","1","3","0.2","114.956","3.333","711.081","658.595"
"1","5","13","0","91","1.3","2","0.2","83.323","3.332","508.895","463.573"
"1","5","14","0","48","1.3","2","0.2","42.573","2.334","250.571","214.403"
"1","5","15","0","9","1.2","2","0.2","7.852","1.364","27.994","0"
"1","5","16","0","0","1.1","1","0.2","0","1.1","0","0"
"1","5","17","0","0","0.9","2","0.2","0","0.9","0","0"
"1","5","18","0","0","0.9","2","0.2","0","0.9","0","0"
"1","5","19","0","0","1","3","0.2","0","1","0","0"
"1","5","20","0","0","1.1","2","0.2","0","1.1","0","0"
"1","5","21","0","0","1.1","2","0.2","0","1.1","0","0"
"1","5","22","0","0","1.2","2","0.2","0","1.2","0","0"
"1","5","23","0","0","1.2","3","0.2","0","1.2","0","0"
"1","6","0","0","0","1.1","2","0.2","0","1.1","0","0"
"1","6","1","0","0","1.2","2","0.2","0","1.2","0","0"
"1","6","2","0","0","1.4","3","0.2","0","1.4","0","0"
"1","6","3","0","0","1.2","3","0.2","0","1.2","0","0"
"1","6","4","0","0","1.1","3","0.2","0","1.1","0","0"
"1","6","5","0","0","0.9","2","0.2","0","0.9","0","0"
"1","6","6","0","0","0.5","0","0.2","0","0.5","0","0"
